"","V1","V2","V3","V4","V5"
"rmse_mksd",0.0352391012967381,0.0424037903105123,0.0507239749444717,0.0583474560551938,0.0641329701220559
"rmse_ncsw",0.035570436893605,0.0431070024531296,0.0520112980824411,0.0586535824115166,0.0643004445594698
"rmse_ipw",0.127068498110416,0.143402097791464,0.139429249318945,0.108883899524858,0.0650757261584784
"rmse_ow",0.124903845085404,0.141451606803746,0.13803042070309,0.108163781915965,0.0649337748753322
"rmse_CBPS",0.130899482778761,0.14775760942163,0.143676796140782,0.112144739746832,0.0666813647334642
"rmse_crude",0.137759979913804,0.155296890457432,0.150833282969298,0.11764852416883,0.0693887057465768
"rmse_tmle",0.122351048035759,0.140377638480668,0.13898420538361,0.111272228866984,0.0701630146055527
"leve_p",0.715711261019843,0.490117839114188,0.38686726139975,0.901795112311985,0.745380713046621
