"meth","gyes","gyes","gyes","gyes"
"mksd","0.489163723071687","0.683104353075603","0.23692478230527","1.62542262974466e-06"
"mksd","0.31467398798764","0.77476238046402","0.178756568437097","4.43355424735432e-08"
"mksd","0.773163979974483","0.0354118586671362","0.0520335971436109","1.7239508070061e-05"
"mksd","0.955018845408297","0.0485436475660868","0.023249438520169","8.57383726177621e-10"
"mksd","0.0178637704685779","0.890342091577026","0.590960139060705","0.000343453863643895"
"mksd","0.00505097698871144","0.176894329936632","0.103342396245208","7.22137326041037e-10"
"mksd","0.320676906670359","0.0495407487327417","0.167087478513707","1.81967891254315e-07"
"mksd","0.535049503601816","0.0526954790437927","0.348234834142218","0.000153603556897301"
"mksd","0.502534390501589","0.463807084521911","0.0687843181208184","2.51713639228308e-08"
"mksd","0.610759093112818","0.0986749971489355","0.800170839933085","4.05969996713063e-09"
"mksd","0.0643296161968915","0.0851229956437495","0.0110232870249243","0.000140358522496676"
"mksd","0.137938614463864","0.00989956938627102","0.146579419070407","3.91541090397111e-07"
"mksd","0.551938342571866","0.607349894419753","0.364068163852112","1.76859287867593e-10"
"mksd","0.333427974534504","0.528503979630102","0.371735028482133","2.05967061373341e-05"
"mksd","0.877726184557769","0.225774210982773","0.125510836348148","0.000226831606272562"
"mksd","0.534354003688373","0.000764730928485499","0.878869546881835","0.000231298165401004"
"mksd","0.821673111968771","0.54200260927172","0.253257232408097","0.000103840555884913"
"mksd","0.470677248954858","0.00612958138375641","0.676326549909246","1.61016319999837e-08"
"mksd","0.573988700189742","0.00871141965326265","0.183530457370903","4.41060589112495e-07"
"mksd","0.0275792842182862","0.361371037587604","0.00724070231801801","7.69563508170522e-05"
"mksd","0.121555581461627","0.617625674363122","0.000229465561824925","1.58101417718613e-08"
"mksd","0.352733893556553","0.682560716137798","0.990057985497687","2.32707683173417e-06"
"mksd","0.411611967023612","0.510904594920499","0.833101838840644","2.80855236483012e-07"
"mksd","0.0806149631211328","0.551782162683055","0.87648674134941","3.624317682677e-06"
"mksd","0.942562803118862","0.822132735953594","0.00679738909418812","1.08085322699802e-07"
"mksd","0.0306211335941208","0.000176632053404204","0.766865144230948","1.40968776250612e-06"
"mksd","0.0634153381762801","0.06212818619583","0.45686053499347","2.91491223927412e-08"
"mksd","0.915680172296526","0.0952947497376984","0.0247501037573334","7.98230559942728e-05"
"mksd","0.0218698922279876","0.198071200610797","0.654934910768425","5.54501688882621e-08"
"mksd","0.262278319984085","0.126490081929527","0.586265070198724","1.80634591873475e-06"
"mksd","0.00136901960571256","0.115572815336299","0.094571998525126","3.75857648105548e-07"
"mksd","0.222900004294857","0.249203639813927","0.508915788137734","0.0006658176476832"
"mksd","0.188495775832228","0.00459799606129939","0.432069060972587","3.41676652482624e-08"
"mksd","0.0138523400993343","0.00112181728926572","0.48460531835394","1.07999777435296e-08"
"mksd","0.049106201945634","0.626625320440751","0.708047348040781","5.89695988117228e-06"
"mksd","0.253304328033671","0.298511743234525","0.500542463686149","1.31136072977022e-06"
"mksd","0.303311059112522","0.00982200031172047","0.449288492927127","0.00101996537339273"
"mksd","0.706331649040113","0.00551098470310403","0.338069775411631","1.84143567082248e-05"
"mksd","0.216342373716885","0.145368371060129","0.652051701157276","1.48399751421454e-05"
"mksd","0.422708597329162","0.0319431649802229","0.66937168036595","6.25644167687295e-05"
"mksd","0.132601290098473","0.00309791345067214","0.478120256687517","2.57806020033914e-10"
"mksd","0.218402638852466","0.41285037061025","0.128829972619709","7.15312308071864e-09"
"mksd","0.425257251109157","0.00748716980729488","0.0242596030373389","4.84974802760093e-05"
"mksd","0.651359971089686","0.932237158223227","0.677604065793898","0.000298132970956623"
