"","V1","V2","V3","V4","V5"
"bias_mksd",0.0350108473083482,0.035357298633668,0.0307330644237132,0.0222014421221407,0.0125005542498044
"bias_ncsw",0.00167891932221606,0.00147360981060325,-7.2192676354399e-05,0.000543882493603612,0.00453022593648658
"bias_ipw",0.226267818625017,0.228186668808917,0.202757527375527,0.147668910835246,0.0784049941945157
"bias_ow",0.221649725659148,0.2243937108334,0.200117221490253,0.146234510465471,0.0778850163225259
"bias_CBPS",0.231171618424905,0.233323735904853,0.207472313480579,0.151130043178252,0.0802974714637651
"bias_crude",0.23777017027638,0.239639690295494,0.212932909767291,0.155214350930907,0.0825215692621713
"bias_tmle",0.222318734888812,0.226334137063628,0.203790563126586,0.151603615532035,0.0841532843092987
