"meth","gyes","gyes","gyes","gyes"
"mksd","0.958684534659852","0.84479634939279","0.825516393042809","0.40383028604572"
"mksd","0.955983271102622","0.859605735352912","0.112439881660841","0.0489050135114038"
"mksd","0.881270068227812","0.75294865141156","0.962399849834751","0.100855388808412"
"mksd","0.948396048854658","0.931383284457094","0.864699989402473","0.42564564601107"
"mksd","0.931734035159471","0.827792976197267","0.769170713173424","0.200749734986834"
"mksd","0.908903878725145","0.715136396997888","0.615987797726751","0.055222707515699"
"mksd","0.863966510071388","0.827849080875272","0.576650545959476","0.167997594270091"
"mksd","0.719897065666644","0.942163458328158","0.854700539539824","0.119306002980739"
"mksd","0.851360350017679","0.786334180399442","0.982457246091383","0.29861058015448"
"mksd","0.955440530840642","0.865313078666958","0.666923786920157","0.975858740481836"
"mksd","0.977241324283407","0.907585912070054","0.613973834137146","0.356754649554083"
"mksd","0.955039994798569","0.924204178586968","0.966985653460763","0.80831707015949"
"mksd","0.963377357680688","0.854247203115326","0.676326664144585","0.408414663241965"
"mksd","0.973663338098483","0.840455250863381","0.553930983847465","0.390775345580472"
"mksd","0.876339383272254","0.812854801602501","0.699683692869737","0.590195510989027"
"mksd","0.9000182211631","0.890928863780279","0.85105406242176","0.603341957001774"
"mksd","0.849141126557464","0.976356684046457","0.905162213399871","0.107193994512271"
"mksd","0.917151451440865","0.954623482288037","0.895288969974298","0.314009522729777"
"mksd","0.925426316651219","0.989548827771691","0.713670568694959","0.245917673078618"
"mksd","0.955973004969977","0.874873550424094","0.438124125867251","0.337761608838895"
"mksd","0.953415956617024","0.966892285893556","0.240896569772199","0.538518193561216"
"mksd","0.944839708159499","0.980372087686572","0.967123294164952","0.0330736122667017"
"mksd","0.952834535209713","0.901353229590935","0.800604520646832","0.796142037500903"
"mksd","0.945783019685494","0.807489656583913","0.589045623881956","0.272264073860822"
"mksd","0.970598716087004","0.990375944883099","0.346875387784088","0.63936148403544"
"mksd","0.960070112500947","0.971477194890979","0.775488215073343","0.201133950855256"
"mksd","0.983804417324183","0.720888089774982","0.357377249424934","0.354433213665432"
"mksd","0.838245018240389","0.995205469993131","0.515157454229686","0.18535477050257"
"mksd","0.828477501555522","0.922659290754374","0.66646517275694","0.228171752811049"
"mksd","0.727069757805859","0.869687798065508","0.587642898870568","0.150530758442942"
"mksd","0.987196021071717","0.970599758436291","0.962238945471378","0.982578079372851"
"mksd","0.752034598845653","0.744715893216213","0.874191195891108","0.489271891962012"
"mksd","0.915626270102602","0.970276712629465","0.741250483002925","0.0804293563499881"
"mksd","0.898548795857538","0.771002515883391","0.746335549191789","0.658482557208749"
"mksd","0.955519186598309","0.926263399752168","0.991157149752255","0.865343261251635"
"mksd","0.901316409223177","0.929283427274216","0.721854414036745","0.709541951236403"
"mksd","0.757801214052107","0.97372923754524","0.888951657336","0.471240705405196"
"mksd","0.674147691670302","0.996882989791899","0.838228966178458","0.683319161757096"
"mksd","0.860887817052514","0.83047183338686","0.564985474306539","0.145117779235238"
"mksd","0.921202894866354","0.871438298304224","0.377257080796118","0.317991300062079"
"mksd","0.992045821889754","0.963343039221449","0.959030724389465","0.454352079571757"
"mksd","0.876961984954559","0.789508622386319","0.982435286654826","0.234900730457654"
"mksd","0.965626520423849","0.932078469950211","0.986288173211259","0.313974519192839"
"mksd","0.882149836645826","0.91269045394688","0.949203066184918","0.0712917559422458"
"mksd","0.88057022658527","0.906328898817841","0.163576575973988","0.176141967765649"
"mksd","0.953396060057624","0.781816854455679","0.998528724744588","0.279121437162973"
"mksd","0.984707346977293","0.671938602647611","0.631851356730396","0.22218725108944"
"mksd","0.948449812649866","0.829146950739502","0.765816996290067","0.729295136536598"
"mksd","0.944336359796308","0.877401190176031","0.671050764719364","0.703639716999449"
"mksd","0.746329289454454","0.795198174799081","0.959939901401953","0.742965724497148"
"mksd","0.93459166466335","0.972441595247183","0.525986867481832","0.564195956791404"
"mksd","0.98160506197174","0.950946826070091","0.418413959283757","0.841024917416621"
"mksd","0.767321038539061","0.977892244071359","0.859382391690237","0.156681901153388"
"mksd","0.739517683231122","0.879721859998529","0.70301520081398","0.544906496199483"
"mksd","0.879075998440975","0.969831068672998","0.719243527690042","0.0437189884614332"
"mksd","0.942953753939617","0.794288807720288","0.305294802605772","0.459957493410826"
"mksd","0.835205578429004","0.818040165671333","0.99308983304862","0.507323448856464"
"mksd","0.939608342735078","0.766174290212365","0.816970385160527","0.277615150822689"
"mksd","0.885510762080734","0.768254243736746","0.674532946564274","0.839821138691999"
